bjd_tdb,flux_rel,flux_rel_err,exptime_s,filter
61026.277787636,1.0451307,0.03932098,1.0000044,g
61026.277799211,0.96218249,0.03799389,1.0000044,g
61026.277810786,0.99776472,0.03906839,1.0000044,g
61026.27782236,1.0096476,0.03976572,1.0000044,g
61026.277833935,0.95989405,0.03952539,1.0000044,g
61026.27784551,0.95883775,0.03835597,1.0000044,g
61026.277857085,0.95923364,0.0380092,1.0000044,g
61026.27786866,0.96606957,0.03797779,1.0000044,g
61026.277880235,0.98843463,0.03830642,1.0000044,g
61026.27789181,0.87083796,0.0356148,1.0000044,g
61026.277903384,1.08520548,0.03924737,1.0000044,g
61026.277914959,1.06026398,0.03897087,1.0000044,g
61026.277926534,1.00576832,0.03821674,1.0000044,g
61026.277938109,0.98844995,0.037224,1.0000044,g
61026.277949684,1.01504268,0.03756991,1.0000044,g
61026.277961259,0.9630396,0.03694333,1.0000044,g
61026.277972834,1.03131812,0.03766784,1.0000044,g
61026.277984409,1.14528746,0.04038693,1.0000044,g
61026.277995983,0.94321709,0.03802778,1.0000044,g
61026.278007558,0.98636292,0.03857505,1.0000044,g
61026.278019133,1.11229301,0.04104922,1.0000044,g
61026.278030708,1.00266452,0.03816588,1.0000044,g
61026.278042283,0.99894022,0.03759965,1.0000044,g
61026.278053858,0.95556208,0.03711747,1.0000044,g
61026.278065433,0.97737783,0.03848915,1.0000044,g
61026.278077007,0.968024,0.03793624,1.0000044,g
61026.278088582,1.00600709,0.03786594,1.0000044,g
61026.278100157,0.97614142,0.03743779,1.0000044,g
61026.278111732,0.99112041,0.03791202,1.0000044,g
61026.278123307,0.96913524,0.03814314,1.0000044,g
61026.278134882,0.98849281,0.03834668,1.0000044,g
61026.278146457,0.96972944,0.03748173,1.0000044,g
61026.278158032,1.04929516,0.03806245,1.0000044,g
61026.278169606,0.97278429,0.03766042,1.0000044,g
61026.278181181,0.98321601,0.03745837,1.0000044,g
61026.278192756,1.00924963,0.03775984,1.0000044,g
61026.278204331,1.05751154,0.03864136,1.0000044,g
61026.278215906,0.97789442,0.03884242,1.0000044,g
61026.278227481,0.9501146,0.03759083,1.0000044,g
61026.278239056,1.03454522,0.03908834,1.0000044,g
61026.27825063,0.97441373,0.03752784,1.0000044,g
61026.278262205,0.98260097,0.03824004,1.0000044,g
