bjd_tdb,flux_rel,flux_rel_err,filter,exptime_s
60033.15869116,1.175315,0.096014,u,24.000192
60033.15872622,1.013752,0.051928,g,24.000192
60033.15872622,1.164366,0.109265,i,24.000192
60033.15879635,1.054076,0.053722,g,24.000192
60033.15879635,0.956477,0.115552,i,24.000192
60033.15883141,1.090134,0.091805,u,24.000192
60033.15886648,1.043643,0.05251,g,24.000192
60033.15886648,1.307309,0.108647,i,24.000192
60033.1589366,1.151405,0.052572,g,24.000192
60033.1589366,1.080252,0.106788,i,24.000192
60033.15897167,1.306891,0.091161,u,24.000192
60033.15900673,1.104187,0.051417,g,24.000192
60033.15900673,0.991623,0.109441,i,24.000192
60033.15907686,1.111854,0.047551,g,24.000192
60033.15907686,1.063389,0.100613,i,24.000192
60033.15911192,1.153344,0.087489,u,24.000192
60033.15914698,1.019291,0.050884,g,24.000192
60033.15914698,0.974457,0.114033,i,24.000192
60033.15921711,1.033467,0.052425,g,24.000192
60033.15921711,0.971561,0.112609,i,24.000192
60033.15925217,1.097786,0.100107,u,24.000192
60033.15928724,0.954197,0.055533,g,24.000192
60033.15928724,1.1558,0.120668,i,24.000192
60033.15935736,1.056217,0.055472,g,24.000192
60033.15935736,1.144518,0.114396,i,24.000192
60033.15939243,0.961185,0.091066,u,24.000192
60033.15942749,0.957483,0.048653,g,24.000192
60033.15942749,0.908974,0.101985,i,24.000192
60033.15949762,0.933383,0.046891,g,24.000192
60033.15949762,0.953445,0.097619,i,24.000192
60033.15953268,0.967053,0.089287,u,24.000192
60033.15956774,0.950088,0.050449,g,24.000192
60033.15956774,0.940849,0.115054,i,24.000192
60033.15963787,1.084701,0.049163,g,24.000192
60033.15963787,1.028036,0.104226,i,24.000192
60033.15967293,1.086688,0.081133,u,24.000192
60033.159708,0.971211,0.049912,g,24.000192
60033.159708,0.97031,0.105247,i,24.000192
60033.15977812,0.967674,0.048675,g,24.000192
60033.15977812,0.946509,0.101301,i,24.000192
60033.15981319,1.094945,0.092145,u,24.000192
60033.15984825,0.994842,0.052932,g,24.000192
60033.15984825,0.866409,0.109318,i,24.000192
60033.15991838,1.074653,0.048805,g,24.000192
60033.15991838,0.995698,0.104226,i,24.000192
60033.15995344,0.935399,0.085395,u,24.000192
60033.1599885,1.006542,0.049593,g,24.000192
60033.1599885,1.041448,0.107118,i,24.000192
60033.16005863,0.990367,0.048038,g,24.000192
60033.16005863,0.773045,0.101565,i,24.000192
60033.16009369,1.090533,0.088658,u,24.000192
60033.16012876,1.065419,0.047902,g,24.000192
60033.16012876,1.004362,0.100243,i,24.000192
60033.16019888,0.953302,0.04763,g,24.000192
60033.16019888,0.794566,0.102318,i,24.000192
60033.16023395,0.909904,0.08583,u,24.000192
60033.16026901,0.955487,0.048234,g,24.000192
60033.16026901,1.030545,0.105761,i,24.000192
60033.16033914,1.022521,0.04531,g,24.000192
60033.16033914,1.093851,0.096371,i,24.000192
60033.1603742,1.131713,0.085174,u,24.000192
60033.16040926,1.117175,0.046683,g,24.000192
60033.16040926,0.842351,0.098157,i,24.000192
60033.16047939,1.12609,0.048049,g,24.000192
