mjd,flux_uJy,flux_err_uJy,filter,mag_5sigma_limit
58459.591023,-15,21,o,18.92
58459.598858,-31,20,o,19.0
58465.591432,40,23,o,18.94
58465.601505,21,21,o,18.93
58465.612962,59,24,o,18.91
58465.622575,-20,25,o,18.85
58465.623489,-14411992592,7130143703,o,-2.39
58467.588746,-56,16,o,18.92
58467.598945,-29,17,o,19.06
58467.603925,-46,18,o,18.73
58467.610376,-39,18,o,19.02
58467.611304,-63,20,o,18.75
58467.620987,-36,21,o,18.69
58467.621907,-49,19,o,19.03
58467.626974,17,22,o,18.65
58469.634418,37,29,o,18.33
58469.634876,73,45,o,17.72
58469.647222,34,45,o,17.96
58469.647679,13,26,o,18.51
58469.653191,40,45,o,17.95
58469.656866,29,28,o,18.46
58469.661907,35,48,o,17.86
58469.662364,69,36,o,18.27
58471.616876,-28,24,o,18.41
58471.627012,37,21,o,18.67
58471.628856,40,19,o,18.71
58471.629776,3,16,o,18.74
58471.637605,-18,21,o,18.56
58471.638984,-46,21,o,18.64
58471.63991,10,22,o,18.69
58471.643591,-12,20,o,18.71
58473.607526,-3,84,o,17.24
58473.614387,-88,66,o,17.33
58473.623534,-45,62,o,17.57
58473.627374,-19428727262,17662479329,o,-3.0
58473.632598,42,41,o,17.71
58473.633511,228,80,o,17.13
58473.634883,-1,79,o,17.2
58473.642708,66,72,o,17.4
58479.550939,22,28,o,18.54
58479.561433,-3,27,o,18.4
58479.565995,36,24,o,18.7
58479.571984,-5,29,o,18.33
58479.574294,13,22,o,18.71
58479.582581,-21,23,o,18.67
58479.583962,33,35,o,18.21
58479.589024,-90,22,o,18.66
58483.600158,-3,20,o,18.71
58483.602001,-39,23,o,18.71
58483.608915,-44,22,o,18.68
58483.610762,-74,23,o,18.6
58483.61769,-74,27,o,18.55
58483.619537,-60,17,o,18.75
58483.626455,-54,23,o,18.55
58483.628298,-7,20,o,18.65
58485.60175,40,53,c,17.69
58485.60728,-26,34,c,18.25
58485.611415,15,43,c,17.86
58485.616936,13,36,c,18.24
58485.621083,-34,46,c,17.93
58485.627486,50,30,c,18.43
58485.628401,16,37,c,17.99
58485.63622,71,32,c,18.34
58487.591533,28,16,o,18.83
58487.595219,0,16,o,18.99
58487.601209,4,18,o,18.83
58487.604896,7,16,o,19.12
58487.607664,15,28,o,19.08
58487.610888,23,16,o,18.92
58487.614578,-12,15,o,19.03
58487.620571,7,18,o,18.88
58487.624269,0,21,o,18.96
58489.588703,32,49,c,17.98
58489.59243,7,28,c,18.25
58489.597946,-18,42,c,18.0
58489.601737,67,27,c,18.26
58489.60774,48,40,c,18.12
58489.611413,46,26,c,18.46
58489.620662,46,22,c,18.4
58491.536149,-82,18,o,18.86
58491.548696,-34,20,o,18.87
58491.553229,-26,15,o,19.24
58491.559865,-16,22,o,18.62
58491.561246,22,17,o,19.07
58491.570368,-13,23,o,19.02
58491.57175,-30,17,o,18.69
58491.577474,-28,20,o,19.09
58493.524194,17,34,c,18.04
58493.534616,5608903662,6340499792,c,-2.39
58493.539095,70,27,c,18.7
58493.545674,-16,216,c,16.55
58493.547501,51,60,c,17.98
