mjd,flux_uJy,flux_err_uJy,filter,mag_5sigma_limit
59541.632257,50,20,o,18.8
59541.638678,29,25,o,18.68
59541.649211,18,23,o,18.61
59543.58333,10,34,o,18.34
59543.588765,-10,33,o,18.27
59543.592824,-61,32,o,18.25
59543.602917,-92,26,o,18.42
59545.59837,21,22,o,18.83
59545.601573,4,23,o,18.78
59545.607523,32,21,o,18.82
59545.610725,16,24,o,18.64
59545.612553,1,22,o,18.78
59545.617597,23,19,o,18.83
59545.618055,36,22,o,18.76
59545.637836,48,21,o,18.73
59563.5531,-20,34,o,18.19
59563.5568,5,33,o,18.32
59563.562344,-8,33,o,18.31
59563.572541,-28,27,o,18.57
59565.62621,147,283,o,16.15
59565.626668,123,227,o,15.85
59565.632627,-158,127,o,16.49
59565.633084,119,95,o,16.95
59565.648761,69,28,o,18.31
59565.649218,-21,30,o,18.31
59565.653404,27,28,o,18.54
59565.653861,56,28,o,18.58
59580.050888,11,13,o,19.15
59580.054641,-33,13,o,19.04
59580.06136,0,15,o,19.18
59580.078387,4,14,o,19.13
59585.556775,66,13,c,19.18
59585.557691,27,15,c,19.18
59585.559988,76,12,c,19.26
59585.560902,35,15,c,19.18
59585.565498,49,11,c,19.24
59585.566884,36,16,c,19.17
59585.576948,52,14,c,19.13
59585.57788,42,17,c,19.05
59585.583837,34,14,c,19.11
59585.60854,33,16,c,18.97
59585.611741,33,15,c,19.12
59585.617228,16,16,c,19.1
59585.955927,38,13,c,19.34
59585.958784,49,17,c,19.23
59585.963934,38,14,c,19.31
59585.986648,43,13,c,19.27
59589.558981,34,27,c,18.64
59589.562186,20,21,c,18.93
59589.568617,47,14,c,19.12
59589.569075,46,16,c,19.27
59589.572296,54,14,c,19.27
59589.578249,50,13,c,19.36
59589.581465,41,14,c,19.24
59589.589713,40,12,c,19.33
59591.457133,4,38,o,18.33
59591.460356,-31,31,o,18.34
59591.465903,14,35,o,18.41
59591.477821,48,34,o,18.34
59596.949743,127,30,o,18.53
59596.950677,4,26,o,18.55
59596.985611,12,23,o,18.58
59596.992411,15,24,o,18.53
59597.010372,27,25,o,18.59
59598.885057,46,33,o,17.99
59600.937909,59288906886,45140417743,o,-4.33
59600.940743,114,101,o,17.35
59600.967612,48,33,o,18.37
59600.97322,-10,19,o,18.77
59603.550931,-16,28,o,18.53
59603.554614,12,34,o,18.57
59603.587676,17,33,o,18.42
59603.591825,19,28,o,18.5
59605.00571,44,15,o,19.14
59605.007588,12,13,o,19.11
59605.010471,33,15,o,19.12
59605.047331,21,18,o,19.0
59608.046136,52,14,c,19.46
59608.068239,60,11,c,19.44
59608.098359,48,13,c,19.42
59608.123552,21,32,c,18.46
59614.034193,44,11,c,19.59
59614.037012,57,10,c,19.5
59614.042563,40,9,c,19.53
59615.903318,34,11,c,19.43
59615.911042,42,11,c,19.44
59615.916345,60,12,c,19.46
59615.948736,64,11,c,19.51
59617.875344,15,16,o,19.22
59617.878594,45,20,o,19.22
59617.88612,68,15,o,19.22
59617.88796,0,15,o,19.27
59618.899929,30,14,o,19.32
59618.919941,18,12,o,19.29
59618.935119,26,15,o,19.33
59618.937585,-4,16,o,19.3
59619.985285,38,9,c,19.7
59619.994886,58,10,c,19.66
59620.001195,52,9,c,19.66
59620.014176,26,9,c,19.66
59622.002013,49,10,c,19.57
59622.004846,28,9,c,19.57
59622.013985,58,11,c,19.58
59622.017215,31,10,c,19.64
59627.961988,34,25,o,18.48
59627.965922,58,32,o,18.39
59627.977912,22,110,o,17.35
59627.988269,-30,32,o,18.35
59628.130769,14,30,o,18.54
59628.132135,-7,26,o,18.57
59628.14878,57,27,o,18.57
59628.1711,58,28,o,18.65
59632.239719,34,14,o,19.05
59632.243435,24,12,o,19.09
59632.248919,30,16,o,19.15
59632.259117,42,17,o,19.05
59636.230527,27,16,o,19.56
59636.23336,25,13,o,19.56
59636.2393,55,12,o,19.52
59636.241023,18,11,o,19.6
59636.244796,32,13,o,19.61
59636.249811,52,11,o,19.62
59636.253093,6,16,o,19.53
59636.260691,36,15,o,19.58
59638.228748,45,10,o,19.41
59638.25878,35,10,o,19.52
59638.28677,31,8,o,19.48
59638.31175,47,10,o,19.55
59638.96613,-41567969919,14862290921,o,-3.01
59639.255124,37,8,c,19.58
59639.258822,62,10,c,19.65
59639.294048,47,11,c,19.64
59639.322759,60,13,c,19.43
59640.187556,48,9,c,19.62
59640.220001,44,8,c,19.61
59640.222734,59,10,c,19.62
59640.252787,56,9,c,19.6
59641.219055,47,10,o,19.45
59641.222292,12,13,o,19.44
59641.258309,21,11,o,19.46
59641.286378,12,15,o,19.38
59642.183386,44,12,o,19.4
59642.218008,13,11,o,19.52
59642.221215,3,11,o,19.42
59642.227544,0,11,o,19.44
59642.917339,19,14,o,19.36
59642.920207,59,14,o,19.33
59642.947418,32,31,o,18.36
59642.949248,59,53,o,17.86
59643.935352,48,10,o,19.63
59643.936295,21,11,o,19.68
59643.938115,35,9,o,19.63
59643.953659,22,11,o,19.63
59643.954571,49,12,o,19.58
59643.956406,19,11,o,19.63
59643.962907,6,10,o,19.59
59643.963403,39,11,o,19.65
59644.132313,47,12,c,19.49
59644.135015,26,9,c,19.5
59644.13821,69,11,c,19.52
59644.165623,53,10,c,19.57
59645.137343,54,11,c,19.57
59645.140152,44,11,c,19.61
59645.142974,37,9,c,19.55
59645.170588,60,10,c,19.64
59645.944319,30,11,o,19.58
59645.948428,17,12,o,19.56
59645.953457,14,12,o,19.51
59645.964875,28,11,o,19.46
59645.972632,43,9,o,19.56
59645.975388,31,13,o,19.55
59645.980788,43,10,o,19.53
59645.992649,37,14,o,19.54
59646.92328,-8,13,o,19.52
59646.925224,31,11,o,19.55
59646.926154,4,12,o,19.5
59646.9424,42,13,o,19.46
59646.942855,42,11,o,19.52
59646.946568,17,11,o,19.51
59646.947934,24,11,o,19.4
59646.964344,21,14,o,19.48
59647.880515,27,10,o,19.56
59647.881902,11,11,o,19.51
59647.898537,23,12,o,19.56
59647.916585,28,10,o,19.62
59652.128767,20,21,o,19.0
59652.130708,12,18,o,18.98
59652.13443,35,19,o,19.01
59652.140776,33,19,o,19.03
59653.159138,23,26,o,18.82
59653.162919,13,20,o,18.86
59653.170036,-27,24,o,18.73
59653.184051,59,24,o,18.92
59654.209864,52,22,o,18.83
59654.214243,41,21,o,18.79
59654.21944,44,22,o,18.82
59654.231038,32,26,o,18.78
59654.904037,20,22,o,18.89
59654.926766,40,21,o,18.95
59654.92951,24,20,o,18.93
59654.949005,38,20,o,18.91
59656.191996,34,42,o,18.42
59656.195602,33,29,o,18.4
59656.201008,-17,30,o,18.43
59656.211235,66,33,o,18.37
59657.222693,5,25,o,18.6
59657.226685,44,22,o,18.54
59657.234351,-35,51,o,17.91
59658.182731,92,18,o,18.81
59658.186735,40,17,o,18.79
59658.196229,22,16,o,18.76
59658.210878,17,18,o,18.76
59659.990599,-5331947216,17850431984,o,-3.23
59660.149023,34,15,o,19.09
59660.152197,17,12,o,19.07
59660.188198,29,16,o,19.09
59660.194532,17,15,o,19.12
59661.16,-7,15,o,19.14
59661.186248,45,14,o,19.07
59661.206689,48,18,o,19.0
59661.224123,31,19,o,18.74
59662.225175,22,12,o,19.31
59662.228364,43,12,o,19.24
59662.25319,17,12,o,19.22
59662.272616,21,12,o,19.22
59664.169433,56,12,o,19.51
59664.17305,32,9,o,19.51
59664.178534,18,10,o,19.53
59664.192633,44,13,o,19.48
59665.131021,15,13,o,19.47
59665.153256,66,14,o,19.54
59665.155987,54,14,o,19.57
59665.89795,36,9,c,19.81
59665.901249,60,10,c,19.77
59665.906603,44,9,c,19.75
59665.94191,49,10,c,19.75
59666.108658,56,14,o,19.45
59666.111503,0,12,o,19.49
59666.118049,34,13,o,19.46
59666.157403,31,14,o,19.48
59668.12449,-4,13,o,19.52
59668.127779,29,11,o,19.52
59668.155942,5,12,o,19.53
59668.161394,29,14,o,19.5
59669.100531,67,12,o,19.5
59669.10549,36,12,o,19.5
59669.114697,26,14,o,19.46
59669.155906,44,14,o,19.56
59670.16262,13,12,o,19.49
59670.16602,38,15,o,19.5
59670.19236,36,12,o,19.43
59670.21269,29,12,o,19.45
59673.160771,14,14,o,19.42
59673.186871,70,14,o,19.4
59673.206148,32,14,o,19.48
59673.211877,26,16,o,19.42
59674.093336,25,12,o,19.41
59674.11153,29,12,o,19.43
59674.114296,45,12,o,19.44
59676.078251,45,15,o,19.39
59676.081516,56,14,o,19.41
59676.086483,14,12,o,19.44
59676.119986,4,14,o,19.52
59677.094299,18,14,o,19.32
59677.099497,52,15,o,19.31
59677.106331,52,16,o,19.28
59677.11667,40,17,o,19.38
59680.130806,41,17,o,19.15
59680.13363,72,16,o,19.23
59680.138603,65,17,o,19.21
59680.14812,25,16,o,19.23
59684.066131,35,26,o,18.49
59684.069767,-6,21,o,18.55
59684.074733,33,25,o,18.61
59684.109739,34,20,o,18.65
59685.867674,89,37,o,18.26
59685.871342,34,41,o,18.17
59685.878876,-49,42,o,18.2
59685.898082,-6,38,o,18.27
59686.919974,21,21,o,18.71
59686.922741,-27,23,o,18.75
59686.937762,27,29,o,18.72
59686.979018,11,30,o,18.57
59688.14278,73,40,o,17.84
59688.145534,145,83,o,17.38
59688.151977,60,75,o,17.55
59688.166977,351,563,o,15.27
59689.202631,61,21,o,18.84
59689.206123,16,21,o,18.84
59689.212727,11,21,o,18.76
59689.223992,5,21,o,18.7
59689.795268,25,10,o,19.47
59689.798973,1,10,o,19.44
59689.80494,35,11,o,19.44
59689.815645,52,12,o,19.36
59692.058482,41,15,o,19.43
59692.062273,51,15,o,19.42
59692.068729,25,14,o,19.4
59692.078643,45,14,o,19.41
59700.05701,37,14,o,19.37
59700.059781,17,15,o,19.37
59700.065028,64,13,o,19.39
59700.076092,35,12,o,19.42
59701.857658,18,11,o,19.54
59701.861149,17,11,o,19.54
59701.867015,30,11,o,19.55
59701.878478,30,10,o,19.53
59704.135104,18,12,o,19.42
59704.138598,35,15,o,19.4
59704.144578,39,11,o,19.39
59704.156748,29,14,o,19.42
59708.045021,19,19,o,19.0
59708.048255,16,18,o,19.02
59708.053888,54,21,o,19.0
59708.064616,46,22,o,18.99
59712.082016,149,177,o,16.65
59712.085916,53,154,o,16.93
59712.093013,-87,176,o,16.55
59712.103762,71,62,o,17.64
59716.031651,34,17,o,18.7
59716.034355,21,19,o,18.68
59716.04038,-2,20,o,18.68
59716.050413,30,20,o,18.63
59725.820963,42,13,o,19.56
59725.825958,44,12,o,19.57
59725.834632,46,12,o,19.56
59725.837695,42,13,o,19.6
59729.741682,28,13,o,19.31
59729.744871,39,14,o,19.25
59729.745327,52,14,o,19.3
59729.750814,35,16,o,19.3
59729.7554,25,12,o,19.28
59729.764181,22,13,o,19.3
59733.801397,37,12,o,19.38
59733.803228,8,13,o,19.44
59733.808289,48,12,o,19.47
59733.810124,37,12,o,19.41
59733.81149,14,10,o,19.42
59733.822138,19,11,o,19.31
59733.823049,20,13,o,19.39
59737.721285,23,16,o,19.21
59737.724204,40,17,o,19.23
59737.730848,8,15,o,19.22
59737.742282,62,18,o,19.2
59742.039896,56,17,o,18.79
59742.04392,30,18,o,18.82
59742.050903,29,20,o,18.85
59742.061324,739,950,o,18.79
59744.049428,126,401,o,15.61
59744.052365,1152,514,o,15.37
59744.05987,-417,932,o,14.55
59744.071378,1666,1562,o,14.05
59747.975429,27,14,o,19.26
59749.779322,38,18,o,19.11
59749.782533,24,20,o,19.09
59749.789369,-13,19,o,19.1
59749.800356,40,21,o,18.88
59756.739834,52,9,c,19.75
59756.743528,40,10,c,19.72
59756.749105,23,8,c,19.75
59756.758937,62,8,c,19.74
59757.757061,58,10,c,19.71
59757.773165,57,9,c,19.64
59757.788028,60,10,c,19.6
59757.796538,56,10,c,19.56
59757.797908,23,10,c,19.66
59757.800652,37,11,c,19.67
59757.827385,63,10,c,19.51
59757.832873,59,12,c,19.52
59758.698702,51,22,c,18.95
59758.701453,54,18,c,19.19
59758.706501,52,13,c,19.46
59758.716095,9,10,c,19.56
59759.021031,54,11,c,19.5
59759.02444,48,11,c,19.5
59759.031183,28,10,c,19.48
59759.041159,50,15,c,19.39
59760.009012,59,11,c,19.53
59760.032008,59,10,c,19.55
59760.036965,28,10,c,19.53
59760.040152,64,10,c,19.51
59761.027575,51,10,c,19.49
59761.030412,76,11,c,19.48
59761.03546,9,11,c,19.43
59765.767101,21,18,o,19.01
59765.773078,27,16,o,19.05
59768.005042,-25975,23300,o,11.29
59773.757915,23,32,o,18.33
59773.76923,-8,39,o,18.08
59773.775589,-17,43,o,18.1
59773.778742,38,49,o,17.94
59783.961633,8,74,o,17.41
59783.964757,42,47,o,17.95
59783.972374,39,28,o,18.59
59783.984467,45,22,o,18.87
59797.708241,-2,158,o,16.67
59797.711164,-192,124,o,16.96
59797.717846,54,48,o,17.89
59797.728017,-9,29,o,18.32
59799.966946,-121,145,o,16.72
59799.9706,112,64,o,17.46
59799.97563,26,44,o,18.02
59799.990888,-3,32,o,18.29
59843.131833,1,22,o,19.08
59843.135055,23,20,o,18.9
59843.140905,34,31,o,18.47
59843.14885,-108,146,o,17.06
59858.100088,66,17,o,18.92
59858.103265,30,20,o,18.9
59858.121649,44,21,o,18.87
59858.133074,95,109,o,17.25
59866.085549,44,52,o,18.04
59866.085999,61,62,o,17.83
59866.088362,-56,41,o,17.99
59866.088812,-38,46,o,18.06
59866.112476,-10,44,o,18.24
59866.112927,19,42,o,18.06
59866.120451,33,68,o,17.85
59866.124837,32,87,o,17.68
59884.312135,51,12,c,19.41
59884.315287,49,11,c,19.41
59884.32833,64,11,c,19.45
59884.331481,65,11,c,19.43
59900.328012,7,20,o,19.31
59900.330714,-2,13,o,19.31
59900.340312,19,16,o,19.31
59900.340763,34,16,o,19.32
59900.348666,32,19,o,19.2
59900.350121,7,18,o,19.16
59904.33738,14,16,o,19.48
59904.346409,24,15,o,19.39
59908.302696,41,14,o,19.4
59908.304551,28,12,o,19.4
59908.321138,56,12,o,19.41
59908.338974,65,13,o,19.44
59912.270543,58,15,o,19.34
59912.287698,37,11,o,19.38
59912.300263,66,11,o,19.37
59912.303907,63,13,o,19.4
59914.044625,48,11,c,19.64
59914.051191,74,11,c,19.68
59914.066089,65,10,c,19.69
59914.069279,60,10,c,19.64
59914.095519,64,17,c,19.01
59916.239316,20,20,o,18.83
59916.242475,53,21,o,18.88
59916.267247,28,18,o,19.04
59916.279884,27,16,o,19.18
59920.291087,-2,25,o,18.76
59920.29469,58,24,o,18.73
59920.308237,44,22,o,18.8
59920.322778,17,23,o,18.84
59921.906927,1,46,o,17.76
59921.909752,12,54,o,17.74
59921.915298,90826541747,65224429308,o,-4.92
59924.215575,33,21,o,18.61
59924.218729,28,24,o,18.64
59924.224187,-2,21,o,18.65
59924.256212,-9,26,o,18.67
59928.26377,47,14,o,19.16
59928.266929,46,15,o,19.19
59928.278585,47,15,o,19.2
59928.282699,38,15,o,19.22
59932.22799,47,10,c,19.6
59932.241957,49,10,c,19.63
59932.245109,38,9,c,19.62
59932.259794,54,9,c,19.61
59934.029491,-2,186,o,16.44
59934.078122,31,12,o,19.48
59934.089813,-21,17,o,19.05
59934.092082,46,18,o,18.94
59936.297973,40,9,c,19.7
59936.299775,140,9,c,19.7
59936.306805,56,9,c,19.69
59936.32442,71,8,c,19.67
59937.980412,57,55,o,17.72
59937.983592,-14,72,o,17.4
59937.987681,1680,1045,o,14.28
59938.01213,146,228,o,16.03
59940.163593,64,11,c,19.43
59940.165865,66,10,c,19.43
59940.191559,33,8,c,19.57
59940.194732,46,10,c,19.55
59944.262494,41,10,c,19.53
59944.284257,54,12,c,19.4
59944.297162,53,11,c,19.47
59944.298982,25,9,c,19.49
59945.910284,33,19,o,18.85
59945.913536,34,22,o,18.76
59945.916709,32,18,o,18.95
59945.938822,32,19,o,19.07
59948.149381,-7,29,o,18.49
59952.283481,81,20,o,18.77
59952.286182,33,24,o,18.77
59952.296123,34,26,o,18.75
59952.301622,33,24,o,18.77
59953.966184,27,18,o,19.04
59953.967986,57,20,o,19.07
59953.973042,38,15,o,19.05
59953.996746,27,18,o,19.03
59956.24867,1,30,o,18.73
59956.271768,20,30,o,18.7
59956.274489,49,38,o,18.75
59956.279457,27,32,o,18.76
59957.972753,936,1508,o,15.32
59957.97501,35270421974,17421709643,o,-3.64
59957.978278,-8979094424,29319491996,o,-3.99
59957.985951,84,93,o,16.33
59960.216084,48,13,o,19.43
59960.219248,50,12,o,19.39
59960.225693,35,11,o,19.41
59960.236306,26,16,o,19.4
59962.044211,27,13,o,19.34
59962.05093,48,13,o,19.36
59962.084585,34,18,o,19.11
59962.087762,8,13,o,19.32
59964.24377,26,10,o,19.39
59964.246041,54,11,o,19.43
59964.249192,52,12,o,19.41
59964.26289,42,13,o,19.36
59965.9754,25,9,c,19.76
59965.977286,62,10,c,19.78
59965.982742,36,8,c,19.77
59966.006902,53,10,c,19.78
59968.321491,24,11,o,19.37
59968.325095,10,14,o,19.36
59968.3314,32,14,o,19.39
59968.366202,12,14,o,19.3
59969.937603,55,9,c,19.77
59969.961515,70,9,c,19.77
59969.963328,56,9,c,19.77
59969.969084,57,8,c,19.75
59972.241246,30,11,o,19.5
59972.243061,41,9,o,19.51
59972.246234,59,11,o,19.47
59972.25164,57,11,o,19.48
59973.961873,58,11,c,19.52
59973.965613,20,12,c,19.26
59973.971087,23,10,c,19.48
59974.002547,43,11,c,19.5
59976.219382,42,14,o,19.14
59976.221203,39,16,o,19.15
59976.243558,40,11,o,19.19
59976.260124,12,11,o,19.35
59977.873877,45,22,o,18.95
59977.875691,48,19,o,18.94
59977.878514,67,20,o,18.87
59977.912712,37,18,o,19.05
59980.226846,8,27,o,18.64
59980.23002,55,23,o,18.64
59980.233175,18,27,o,18.66
59980.265938,24,24,o,18.7
59981.99538,108,116,o,16.29
59981.998989,44,23,o,18.69
59982.005347,60,49,o,17.98
59982.030116,24,22,o,18.86
59984.213997,81,20,o,18.8
59984.215812,39,23,o,18.77
59984.25114,64,22,o,18.74
59984.259709,12,24,o,18.76
59986.888493,160,65,o,17.29
59986.891736,22,17,o,18.47
59986.911202,61,18,o,19.19
59986.939748,10,42,o,18.32
59988.182356,53,15,o,19.26
59988.184165,-12,14,o,19.3
59988.187325,61,17,o,19.22
59988.192746,30,20,o,19.27
59992.18819,71,10,c,19.66
59992.191378,47,10,c,19.66
59992.215211,59,11,c,19.62
59992.226125,46,9,c,19.73
59994.919253,33,13,o,19.49
59994.921082,25,10,o,19.51
59994.924257,21,14,o,19.51
59994.929719,47,12,o,19.53
59996.168248,80,11,c,19.35
59996.170048,55,12,c,19.48
59996.173203,34,11,c,19.51
59996.204036,50,9,c,19.57
59998.97008,15,10,o,19.53
59998.974186,39,11,o,19.43
59998.981941,37,13,o,19.47
59998.992015,52,10,o,19.54
59999.345065,35,8,c,19.57
59999.373071,41,13,c,19.46
59999.387211,63,10,c,19.42
59999.390301,84,13,c,19.27
60000.163509,42,9,c,19.56
60000.167432,36,9,c,19.57
60000.170587,58,8,c,19.57
60000.205895,54,10,c,19.54
60002.893022,32,12,o,19.45
60002.895386,36,14,o,19.44
60002.898144,41,10,o,19.47
60002.922566,33,13,o,19.57
60004.245549,15,7,c,19.7
60004.249239,55,9,c,19.67
60004.254733,68,9,c,19.68
60004.269096,35,9,c,19.68
60006.98412,13,16,o,19.12
60006.987034,34,15,o,18.89
60006.993179,26,20,o,18.87
60007.005729,53,16,o,19.11
60008.211853,-5,17,o,18.92
60008.215035,31,22,o,18.9
60008.222286,42,22,o,18.95
60008.256889,33,21,o,18.87
60012.131617,31,28,o,18.67
60012.133427,-23,30,o,18.71
60012.138402,-14,30,o,18.68
60012.146261,67,25,o,18.71
60012.159333,53,30,o,18.68
60012.186776,-12,32,o,18.69
60012.189479,7,28,o,18.64
60012.205217,24,26,o,18.7
60013.966649,-57,26,o,18.68
60013.971865,36,31,o,18.53
60013.975039,-5,21,o,18.96
60014.000908,16,23,o,18.6
60014.93326,-14,16,o,19.14
60014.936442,36,17,o,19.12
60014.941872,-17,17,o,19.17
60014.951858,11,17,o,19.11
60015.384726,26,33,o,18.44
60015.385177,82,30,o,18.44
60015.385627,92,32,o,18.41
60015.386078,60,34,o,18.45
60015.386529,50,29,o,18.46
60015.399292,79,36,o,18.27
60016.181959,26,17,o,19.1
60016.185155,18,24,o,19.1
60016.190958,19,18,o,19.07
60016.196427,44,14,o,19.09
60016.200036,-2,15,o,19.07
60016.201388,33,19,o,19.05
60016.206042,21,16,o,19.09
60016.216136,43,14,o,19.04
60020.182349,33,10,o,19.43
60020.185545,29,12,o,19.44
60020.191458,24,14,o,19.44
60020.201431,5,12,o,19.42
60022.829024,55,10,c,19.72
60022.864576,47,10,c,19.68
60022.883509,47,8,c,19.74
60022.886868,37,10,c,19.79
60024.188911,24,14,o,19.36
60024.192524,36,13,o,19.36
60024.198388,31,14,o,19.34
60024.20848,35,16,o,19.34
60025.887926,3836,4574,c,13.03
60025.893493,414,354,c,15.72
60025.931269,-398,985,c,15.11
60028.162801,37,12,o,19.33
60028.166023,34,14,o,19.34
60028.199991,49,13,o,19.38
60028.205765,22,9,o,19.45
60030.91555,58,8,c,19.83
60030.918556,48,8,c,19.84
60030.924458,48,7,c,19.83
60030.936029,60,8,c,19.83
60032.174403,46,12,o,19.36
60032.177629,123,12,o,19.39
60032.183179,25,14,o,19.42
60032.203949,56,16,o,19.37
60035.117637,55,22,o,19.03
60035.121323,49,19,o,19.03
60035.125966,40,17,o,19.09
60035.126897,34,26,o,19.0
60035.159816,53,15,o,19.06
60035.160274,13,20,o,19.05
60035.163045,34,18,o,19.08
60035.168174,52,18,o,19.03
60036.891778,-33,22,o,18.66
60036.895035,192,342,o,16.29
60036.900753,5,16,o,18.86
60036.910538,18,20,o,18.84
60039.867281,34,25,o,18.7
60039.870044,65,24,o,18.75
60039.875627,19,24,o,18.71
60039.885387,26,25,o,18.69
60041.116608,60,26,o,18.57
60041.119881,5,39,o,18.59
60041.12541,-14,39,o,18.6
60041.136218,32,37,o,18.56
60042.884231,70,56,o,17.57
60042.887183,3,36,o,18.29
60042.892569,-125,58,o,17.69
60042.904959,-117,49,o,17.99
60045.864721,18,14,o,19.35
60045.867613,19,13,o,19.35
60045.873039,45,12,o,19.26
60045.88322,18,17,o,19.11
60046.992233,79,13,c,19.26
60046.99408,-337,8,c,19.3
60046.997308,44,14,c,19.31
60047.021544,58,10,c,19.37
60048.857003,16,13,o,19.48
60048.860414,18,13,o,19.43
60048.866124,27,14,o,19.45
60048.876232,26,13,o,19.35
60051.861039,44,9,o,19.74
60051.863987,37,10,o,19.73
60051.869417,25,9,o,19.77
60051.88024,36,10,o,19.72
60053.103913,57,10,c,19.46
60053.107121,54,10,c,19.53
60053.11361,28,10,c,19.47
60053.123772,39,11,c,19.52
60060.845117,15,23,o,18.74
60060.849307,51,26,o,18.72
60060.854569,23,19,o,18.94
60060.864863,34,19,o,19.09
60063.818538,-1270,64,o,17.98
60063.822288,44,18,o,19.18
60063.828051,46,15,o,19.13
60063.838118,18,14,o,19.21
60065.226905,1,21,o,18.62
60065.230147,4,26,o,18.59
60065.252876,2,24,o,18.54
60065.259246,-1,26,o,18.46
60066.815671,13,21,o,18.7
60066.817025,12,28,o,18.69
60066.818923,2,24,o,18.68
60066.820275,56,21,o,18.73
60066.824535,48,20,o,18.76
60066.825886,32,24,o,18.77
60066.83439,33,22,o,18.81
60066.836243,40,21,o,18.8
60068.85118,55,25,o,18.69
60068.85446,39,31,o,18.7
60068.87155,32,25,o,18.62
60068.878029,-1,26,o,18.56
60069.828877,77636576147,44599735233,o,-4.86
60069.831727,-92,778,o,14.6
60069.838833,19,70,o,17.43
60069.851609,-6,127,o,16.91
60071.075066,26,22,o,18.6
60071.078253,19,28,o,18.57
60071.083508,29,25,o,18.61
60071.094279,60,30,o,18.59
60071.807915,42,20,o,18.85
60071.831969,33,20,o,18.88
60071.834311,29,21,o,18.84
60071.834777,1,18,o,18.85
60071.837169,38,21,o,18.91
60071.852951,30,20,o,18.84
60071.853402,38,26,o,18.85
60071.860539,23,20,o,18.79
60072.803206,60,18,o,19.04
60072.808463,24,15,o,19.07
60072.811909,63,19,o,19.05
60072.814811,20,16,o,19.12
60072.818736,30,20,o,19.15
60072.822044,29,19,o,19.05
60072.824428,32,18,o,19.09
60072.834623,30,18,o,19.09
60075.811427,57,17,c,19.33
60075.81526,43,18,c,19.05
60075.820482,-6,18,c,19.03
60075.831363,-37,67,c,17.65
60077.067663,49,17,o,19.29
60077.070849,-2,17,o,19.34
60077.076173,7,15,o,19.35
60077.08754,31,15,o,19.35
60081.900476,60,19,c,18.98
60081.903682,37,16,c,19.35
60081.910196,21,12,c,19.45
60081.931275,50,11,c,19.44
60083.028074,-14,249,o,16.18
60083.030933,7955,7878,o,12.3
60083.038383,17,27,o,18.61
60083.051922,10326,5224,o,13.03
60084.769317,26,8,c,19.7
60084.776633,38,8,c,19.74
60084.780019,63,9,c,19.75
60084.790054,48,8,c,19.74
60087.784923,50,9,c,19.87
60087.787751,40,10,c,19.74
60087.793628,56,11,c,19.68
60087.804306,61,11,c,19.83
60087.813348,60,10,c,19.78
60090.804481,23,15,o,19.11
60090.807294,31,17,o,19.1
60090.813511,-28,19,o,19.1
60090.836537,28,21,o,19.08
60101.027457,20,22,o,18.76
60101.846126,62,20,o,18.8
60101.849485,8,21,o,18.76
60101.870075,-12,25,o,18.59
60101.876288,21,26,o,18.61
60105.794323,32,12,o,19.47
60105.797093,33,12,o,19.47
60105.822349,20,10,o,19.46
60105.841385,27,13,o,19.44
60107.004261,74,14,c,19.29
60107.007034,44,11,c,19.26
60107.012619,56,13,c,19.26
60107.033694,47,13,c,19.25
60124.998173,3,23,o,18.59
60125.001861,44,23,o,18.62
60125.018297,43,27,o,18.6
60125.036214,30,26,o,18.58
60126.772634,12,26,o,18.74
60126.775408,48,25,o,18.7
60126.800466,15,24,o,18.62
60126.807179,6,31,o,18.54
60131.04847,-31,30,o,18.13
60131.727361,44,16,o,18.95
60131.734309,0,23,o,18.7
60131.738545,12,22,o,18.87
60131.754943,-6,72,o,17.5
60135.729778,50,9,c,19.59
60135.739856,62,10,c,19.55
60135.745123,38,10,c,19.6
60135.75833,66,11,c,19.53
60138.73162,38,12,c,19.44
60138.747862,47,9,c,19.57
60138.748315,67,10,c,19.61
60138.751547,68,10,c,19.61
60138.775795,21,13,c,19.58
60138.786512,27,13,c,19.43
60141.743727,49,11,c,19.39
60141.747078,56,11,c,19.39
60141.778714,53,12,c,19.21
60141.797569,11,21,c,18.88
60142.968678,-68,61,o,16.96
60142.971411,40,128,o,16.63
60142.981038,-4828,5455,o,13.54
60142.994405,7494785278,9476165294,o,-2.95
60144.702387,0,24,c,18.64
60144.705586,30,20,c,18.98
60144.711083,-53,16,c,19.01
60144.720864,48,13,c,19.33
60147.703888,81,25,c,18.72
60147.707719,45,14,c,19.06
60147.71775,-8,18,c,19.05
60147.725487,68,12,c,19.29
60153.718747,22,25,o,18.59
60153.721973,38,24,o,18.65
60153.72888,41,24,o,18.56
60153.749027,40,27,o,18.45
60154.968903,21,33,o,18.4
60154.97208,34,28,o,18.3
60154.977518,77,75,o,17.76
60154.988689,47,34,o,18.36
60159.722607,23,19,o,18.8
60159.726977,48,21,o,18.81
60159.731948,-1,21,o,18.86
60159.746688,31,23,o,18.75
60160.96452,29,75,o,17.54
60160.967699,28,40,o,17.96
60160.973157,40,28,o,18.49
60160.983551,20,21,o,18.65
60211.375353,19,19,o,18.92
60211.391769,45,19,o,18.76
60211.394629,25,22,o,18.6
60217.371817,60,36,o,18.24
60217.372267,21,38,o,18.11
60217.375949,7,37,o,18.21
60217.378329,-41,40,o,18.08
60217.381182,-60,34,o,18.25
